ID;code;Valley;Station;Range;Altitude;Species;DD;Year;harv_num;harv;Date;Ntot1;Ntot;Mtot;oneacorn;VH;H;SH;tot_Germ;M_Germ;N_Germ;rate_Germ
Os01Qu018_251_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;251;2011;NA;NA;08/09/2011;23;23;9.57;0.416086957;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_276_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;276;2011;NA;NA;03/10/2011;67;67;35.64;0.531940299;632;14.5;61.86;0;NA;NA;NA
Lu16Qu037_283_11;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;283;2011;NA;NA;10/10/2011;17;17;9.04;0.531764706;760.08;14.56;54.88;0;NA;NA;NA
Os01Qu018_285_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;285;2011;NA;NA;12/10/2011;0;0;0;NA;632;14.5;61.86;0;NA;NA;NA
Lu16Qu037_286_11;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;286;2011;NA;NA;13/10/2011;20;20;8.78;0.439;760.08;14.56;54.88;0;NA;NA;NA
Os01Qu018_306_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;306;2011;NA;NA;02/11/2011;1;1;0;NA;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_349_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;349;2011;NA;NA;15/12/2011;35;35;0;NA;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_261_12;Os01Qu018;Ossau;Josbaig;100;259;Quercus;261;2012;NA;NA;17/09/2012;22;22;15.53;0.705909091;632;14.5;61.86;0;NA;NA;NA
Lu01Qu038_262_12;Lu01Qu038;Luz;Laveyron;100;131;Quercus;262;2012;NA;NA;18/09/2012;0;0;0;NA;1002;23.5;180.31;0;NA;NA;NA
Lu01Qu071_262_12;Lu01Qu071;Luz;Laveyron;100;131;Quercus;262;2012;NA;NA;18/09/2012;0;0;0;NA;416;27.4;83.69;0;NA;NA;NA
Lu08Qu009_263_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;233;10.3;29.54;0;NA;NA;NA
Lu08Qu014_263_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;199;10.3;43.13;0;NA;NA;NA
Lu08Qu018_263_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;254;10.5;28.1;0;NA;NA;NA
Os12Qu012_275_12;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;275;2012;NA;NA;01/10/2012;59;59;20.78;0.35220339;58.77;4.8;12.5;0;NA;NA;NA
Lu12Qu008_274_20;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;274;2020;2;272;30/09/2020;1030.590062;1062.590062;522.41;0.506903782;178;14;49.61;25;36.71;0;0
Lu12Qu010_274_20;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;274;2020;2;272;30/09/2020;197.5694444;266.5694444;75.28;0.38103058;103;21;48.5;25;25.58;0;0
Lu16Qu036_273_20;Lu16Qu036;Luz;Peguere;1600;1630;Quercus;273;2020;2;272;29/09/2020;0;0;0;NA;801.97;13.1;74.95;0;NA;NA;NA
Lu16Qu037_273_20;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;273;2020;2;272;29/09/2020;6;6;0;0;760.08;14.56;54.88;6;NA;0;0
Lu16Qu038_273_20;Lu16Qu038;Luz;Peguere;1600;1630;Quercus;273;2020;2;272;29/09/2020;0;0;0;NA;62.77;5.87;10.69;0;NA;NA;NA
Os01Qu004_269_20;Os01Qu004;Ossau;Josbaig;100;259;Quercus;269;2020;2;272;25/09/2020;1759.688794;1807.688794;2508.86;1.425740738;2901.46;32;163.97;24;77.16;1;0.041666667
Os01Qu010_269_20;Os01Qu010;Ossau;Josbaig;100;259;Quercus;269;2020;2;272;25/09/2020;428.4815212;431.4815212;829.16;1.935112622;1225;26.5;172.07;25;75.86;4;0.16
Os01Qu018_269_20;Os01Qu018;Ossau;Josbaig;100;259;Quercus;269;2020;2;272;25/09/2020;97;98;199.37;2.055360825;632;14.5;61.86;25;96.27;4;0.16
Os04Qu003_269_20;Os04Qu003;Ossau;Bager;400;422;Quercus;269;2020;2;272;25/09/2020;4445.75172;4471.75172;8437.1;1.89778929;2518;35;164.14;25;86.3;1;0.04
Os04Qu006_269_20;Os04Qu006;Ossau;Bager;400;422;Quercus;269;2020;2;272;25/09/2020;57;57;73.08;1.282105263;96;31;33.34;25;73.08;5;0.2
Os04Qu024_269_20;Os04Qu024;Ossau;Bager;400;422;Quercus;269;2020;2;272;25/09/2020;750.6454389;750.6454389;929.45;1.238201089;337;27.8;80.63;25;86.05;7;0.28
Os08Qu008_269_20;Os08Qu008;Ossau;Le-Hourcq;800;841;Quercus;269;2020;2;272;25/09/2020;69;77;47.97;0.695217391;661.85;25;57.34;25;30.67;0;0
Os08Qu010_269_20;Os08Qu010;Ossau;Le-Hourcq;800;841;Quercus;269;2020;2;272;25/09/2020;0;0;0;NA;1060.25;30.1;54.65;0;NA;NA;NA
Os08Qu022_269_20;Os08Qu022;Ossau;Le-Hourcq;800;841;Quercus;269;2020;2;272;25/09/2020;13;13;14.7;1.130769231;653.27;24.75;49.3;13;14.7;0;0
Os12Qu002_269_20;Os12Qu002;Ossau;Gabas;1200;1194;Quercus;269;2020;2;272;25/09/2020;0;0;0;NA;213.31;14.3;56.48;0;NA;NA;NA
Os12Qu012_269_20;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;269;2020;2;272;25/09/2020;26;26;5.7;0.219230769;58.77;4.8;12.5;0;NA;NA;NA
Os12Qu013_269_20;Os12Qu013;Ossau;Gabas;1200;1194;Quercus;269;2020;2;272;25/09/2020;112.2807018;112.2807018;19.2;0.171;188;9.6;24.1;0;NA;NA;NA
Os16Qu001_269_20;Os16Qu001;Ossau;Artouste;1600;1614;Quercus;269;2020;2;272;25/09/2020;0;0;0;NA;69.79;3;17.89;0;NA;NA;NA
Os16Qu004_269_20;Os16Qu004;Ossau;Artouste;1600;1614;Quercus;269;2020;2;272;25/09/2020;0;0;0;NA;157.12;5.2;31.42;0;NA;NA;NA
Os16Qu010_269_20;Os16Qu010;Ossau;Artouste;1600;1614;Quercus;269;2020;2;272;25/09/2020;0;0;0;NA;116.11;15.8;15.38;0;NA;NA;NA
Lu01Qu012_286_20;Lu01Qu012;Luz;Laveyron;100;131;Quercus;286;2020;3;286;12/10/2020;525.8928571;531.8928571;1046.31;1.989587776;4197;25.8;218.5;25;92.61;14;0.56
Lu01Qu038_286_20;Lu01Qu038;Luz;Laveyron;100;131;Quercus;286;2020;3;286;12/10/2020;1102.828398;1106.828398;1489.08;1.350237265;1002;23.5;180.31;25;69.58;20;0.8
